,Query,Sql pattern new
0,Number of invoices created for account payable (a/p) in Last month?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""account payable (a/p)"") and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"") "
1,How much has sonnenschein family store paid us This month to date?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""sonnenschein family store"" and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  and account_type in ('Income','Other Income')"
2,What are my total sales by rocks?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""rocks"""
3,How often do we bill allowance for gevelber photography?,"select sum(quantity) from master_txn_table where customers = ""gevelber photography"" and product_service = ""allowance"""
4,How much has 0969 ocean view road paid us Last 7 days?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""0969 ocean view road"" and transaction_date BETWEEN date( current_date, ""-7 days"") AND date( current_date)  and account_type in ('Income','Other Income')"
5,How much money have we paid to truck YTD?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""truck"") and strftime(""%Y"", transaction_date)  = strftime(""%Y"", current_date)"
6,give me the list of accounts where my revenue increased by more than 50% in this month as compared to last month,"select T1.account, revenue_this_month, revenue_last_month from(select account, sum(credit) as revenue_this_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) group by account) as T1 join (select account, sum(credit) as revenue_last_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by account) as T2 where revenue_this_month >= revenue_last_month * 1.5"
7,How many sod did amy's bird sanctuary sell This month to date?,"select sum(quantity) from master_txn_table where customers = ""amy's bird sanctuary"" and product_service = ""sod"" and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) "
8,What was the first invoice for jeff's jalopy?,"select transaction_id from master_txn_table where customers = ""jeff's jalopy"" and transaction_type = 'invoice' order by transaction_date limit 1"
9,How many invoices are still oustanding for amy's bird sanctuary as of Last fiscal year?,"select count(distinct transaction_id) from master_txn_table where customers = ""amy's bird sanctuary"" and transaction_type = 'invoice' and open_balance >0 and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days');"
10,How many concrete did dukes basketball camp sell last month?,"select sum(quantity) from master_txn_table where customers = ""dukes basketball camp"" and product_service = 'X' and transaction_type in ('invoice', 'sales receipt')"
11,How many VISA transactions did we have yesterday?,select count(distinct transaction_id) from master_txn_table where payment_method = 'visa'
12,Did we get paid for the pest control this month?,"select distinct transaction_id, AR_paid from master_txn_table where product_service = ""pest control"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp);"
13,When did weiskopf consulting first pay?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""weiskopf consulting"" order by transaction_date limit 1"
14,What our monthly spend on hicks hardware,"select sum(debit) from master_txn_table where vendor = ""hicks hardware"" group by strftime(""%m"", transaction_date);"
15,Have we billed gevelber photography for the rock fountain last month?,"select transaction_id from master_txn_table where transaction_type = 'bill' and customers = ""gevelber photography"" and product_service = ""rock fountain"""
16,What was the first invoice amount for interest earned?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""interest earned"")"
17,Who are my outstanding debtors?,"select customer_name, balance from customers where balance != 0"
18,what products are selling less than last month,"select T1.product_service, revenue_this_month, revenue_last_month from (select product_service, sum(credit) as revenue_this_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) group by product_service) as T1 join (select product_service, sum(credit) as revenue_last_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by product_service) as T2 on T1.product_service = T2.product_service where revenue_this_month < revenue_last_month"
