,Query,Sql pattern new
0,How much has cool car paid us This fiscal year to date?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""cool car"" and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day') and account_type in ('Income','Other Income')"
1,Show number of transactions with Mr B,"select transaction_type, count(distinct transaction_id) from master_txn_table where customers = 'B' or vendor = 'B'"
2,What is my lowest bill for ellis equipment rental?,"select min(credit) from master_txn_table where transaction_type = 'bill' and vendor = ""ellis equipment rental"""
3,"This quarter, how many invoices were paid?",
4,What is my min sales for rondonuwu fruit and vegi in the august?,"select min(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and customers = ""rondonuwu fruit and vegi"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
5,How much we received from supplies in between <date> and <date>?,"select sum(credit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and instr(account,""supplies"") and transaction_date BETWEEN date(current_date) AND date(current_date)"
6,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
7,When did mark cho last pay?,"select transaction_date from master_txn_table where customers = ""mark cho"" and transaction_type = 'payment' order by transaction_date desc limit 1"
8,Who are my outstanding creditors?,"select vendor_name, balance from vendors where balance != 0"
9,"which license category  55 twin lane am paying the most for 
in month of july ","select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""55 twin lane"" and instr(account,""license"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
10,What was the most recent invoice for service?,"select transaction_id from master_txn_table where transaction_type = 'invoice' and product_service = ""service"" order by transaction_date desc limit 1"
11,What was our smallest expense Last 12 months?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-12 months"", ""start of month"") AND date( current_date)  order by sum(debit) desc limit 1"
12,How many wedding planning by whitney invoices are still outstanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""wedding planning by whitney"" and open_balance > 0 and transaction_type = 'invoice'"
13,What is my average revenue for Customer A in the last 5 years?,"select sum(credit)/5 from master_txn_table where customers = ""A"" and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_timestamp)-4;"
14,Who has the most money outstanding?,select customer_name from customers order by balance desc limit 1
15,How much money have we paid to brosnahan insurance agency This year?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""brosnahan insurance agency"" and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
16,How much revenue came through freeman sporting goods in month of august,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = 8 and T1.customers = ""freeman sporting goods"""
17,When did 0969 ocean view road last pay?,"select transaction_date from master_txn_table where customers = ""0969 ocean view road"" and transaction_type = 'payment' order by transaction_date desc limit 1"
18,Who are my outstanding debtors?,"select customer_name, balance from customers where balance != 0"
19,"This year, how much did we pay fidelity?","select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""fidelity"" and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
20,"What was the total amount collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and product_service = 'Bond fees'"
21,When was the first time duke basketball camp paid you?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""duke basketball camp"" order by transaction_date limit 1"
22,"Last 12 months, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-12 months"", ""start of month"") AND date( current_date)  order by sum(debit) desc limit 1"
23,How many invoices are past due since on <date>?,select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date(current_date) AND date(current_date)  and open_balance > 0
24,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
25,How much total income did we receive from credit card transactions yesterday?,"select sum(credit) from master_txn_table as T1 join payment_method as T2 on T1.payment_method = T2.payment_method where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and T2.credit_card = ""yes"" "
26,What are diego rodriguez recurring product purchases over past 6 months?,"select product_service from ( select product_service, count(distinct strftime(""%m"", transaction_date)) as n_months from master_txn_table where customers = ""diego rodriguez"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_date) - 6 group by product_service ) where n_months >= 6"
27,Did we receive payment from shara barnett partnership last year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""shara barnett"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1"
28,What is my highest bill for united states treasury?,"select max(credit) from master_txn_table where transaction_type = 'bill' and vendor = ""united states treasury"""
29,"which uncategorized asset category  pye's cakes am paying the most for 
in month of july ","select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""pye's cakes"" and instr(account,""uncategorized asset"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
30,"Which salesperson generated the most ""Bond Fees"" last month?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%m"",transaction_date) = strftime(""%m"",current_date) - 1 and misc.salesperson = X and product_service = 'Bond fees' group by misc.salesperson order by sum(credit) desc limit 1"
31,What payment method was used to pay invoice #101010,"select payment_method from master_txn_table where transaction_type = 'invoice' and transaction_id = ""101010"""
32,What are my transactions for the year?,"select distinct transaction_id, amount from master_txn_table where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
